"t0";"tinc";"ta";"n carac";"acertos teste";"% acertos teste";"acertos treino";"% acertos treino"
"0.010000";"0.015000";"0.150000";30;1520;"0.894118";13771;"0.900065"
"0.010000";"0.015000";"0.150000";20;1518;"0.892941";13768;"0.899869"
"0.010000";"0.025000";"0.250000";30;1522;"0.895294";13765;"0.899673"
"0.010000";"0.025000";"0.250000";20;1520;"0.894118";13757;"0.899150"
"0.010000";"0.035000";"0.350000";30;1517;"0.892353";13762;"0.899477"
"0.010000";"0.035000";"0.350000";20;1521;"0.894706";13767;"0.899804"
"0.010000";"0.045000";"0.450000";30;1521;"0.894706";13765;"0.899673"
"0.010000";"0.045000";"0.450000";20;1516;"0.891765";13766;"0.899739"
"0.010000";"0.050000";"0.500000";30;1521;"0.894706";13757;"0.899150"
"0.010000";"0.050000";"0.500000";20;1525;"0.897059";13762;"0.899477"
"0.010000";"0.055000";"0.550000";30;1516;"0.891765";13760;"0.899346"
"0.010000";"0.055000";"0.550000";20;1515;"0.891176";13772;"0.900131"
"0.010000";"0.065000";"0.650000";30;1525;"0.897059";13766;"0.899739"
"0.010000";"0.065000";"0.650000";20;1517;"0.892353";13768;"0.899869"
"0.010000";"0.075000";"0.750000";30;1519;"0.893529";13774;"0.900261"
"0.010000";"0.075000";"0.750000";20;1516;"0.891765";13762;"0.899477"
"0.010000";"0.085000";"0.850000";30;1525;"0.897059";13768;"0.899869"
"0.010000";"0.085000";"0.850000";20;1523;"0.895882";13765;"0.899673"
"0.010000";"0.087500";"0.875000";30;1518;"0.892941";13774;"0.900261"
"0.010000";"0.087500";"0.875000";20;1524;"0.896471";13761;"0.899412"
