;"Col";"Lag"
"Col";"TP";"FP"
"Lag";"FN";"TN"
;;
"Teste:";;
;"Col";"Lag"
"Col";610;55
"Lag";90;945
;;
"0.871429";"0.055000";
"0.128571";"0.945000";
;;
"Treino:";;
;"Col";"Lag"
"Col";5539;459
"Lag";761;8541
;;
"0.879206";"0.051000";
"0.120794";"0.949000";
;;
;;
;;
;;
"Teste:";;
;"Col";"Lag"
"Col";585;36
"Lag";115;964
;;
"0.835714";"0.036000";
"0.164286";"0.964000";
;;
"Treino:";;
;"Col";"Lag"
"Col";5327;264
"Lag";973;8736
;;
"0.845556";"0.029333";
"0.154444";"0.970667";
;;
;;
"Teste:";;
;"Col";"Lag"
"Col";604;56
"Lag";96;944
;;
"0.862857";"0.056000";
"0.137143";"0.944000";
;;
"Treino:";;
;"Col";"Lag"
"Col";5506;438
"Lag";794;8562
;;
"0.873968";"0.048667";
"0.126032";"0.951333";
;;
;;
"Teste:";;
;"Col";"Lag"
"Col";606;58
"Lag";94;942
;;
"0.865714";"0.058000";
"0.134286";"0.942000";
;;
"Treino:";;
;"Col";"Lag"
"Col";5511;443
"Lag";789;8557
;;
"0.874762";"0.049222";
"0.125238";"0.950778";
;;
;;
;;
"Teste:";;
;"Col";"Lag"
"Col";608;58
"Lag";92;942
;;
"0.868571";"0.058000";
"0.131429";"0.942000";
;;
"Treino:";;
;"Col";"Lag"
"Col";5546;477
"Lag";754;8523
;;
"0.880317";"0.053000";
"0.119683";"0.947000";
;;
;;
"Teste:";;
;"Col";"Lag"
"Col";630;83
"Lag";70;917
;;
"0.900000";"0.083000";
"0.100000";"0.917000";
;;
"Treino:";;
;"Col";"Lag"
"Col";5691;693
"Lag";609;8307
;;
"0.903333";"0.077000";
"0.096667";"0.923000";
