t0;tinc;ta;n carac;acertos teste;% acertos teste;acertos treino;% acertos treino
0.010000;0.015000;0.150000;31;1556;0.915294;14023;0.916536
0.010000;0.015000;0.150000;21;1543;0.907647;13875;0.906863
0.010000;0.025000;0.250000;31;1550;0.911765;14021;0.916405
0.010000;0.025000;0.250000;21;1526;0.897647;13771;0.900065
0.010000;0.035000;0.350000;31;1554;0.914118;14004;0.915294
0.010000;0.035000;0.350000;21;1519;0.893529;13757;0.899150
0.010000;0.045000;0.450000;31;1555;0.914706;14001;0.915098
0.010000;0.045000;0.450000;21;1504;0.884706;13626;0.890588
0.010000;0.050000;0.500000;31;1550;0.911765;14001;0.915098
0.010000;0.050000;0.500000;21;1525;0.897059;13780;0.900654
0.010000;0.055000;0.550000;31;1552;0.912941;14023;0.916536
0.010000;0.055000;0.550000;21;1542;0.907059;13914;0.909412
0.010000;0.065000;0.650000;31;1533;0.901765;13904;0.908758
0.010000;0.065000;0.650000;21;1541;0.906471;13936;0.910850
0.010000;0.075000;0.750000;31;1548;0.910588;13988;0.914248
0.010000;0.075000;0.750000;21;1532;0.901176;13869;0.906471
0.010000;0.085000;0.850000;31;1552;0.912941;14094;0.921176
0.010000;0.085000;0.850000;21;1536;0.903529;13875;0.906863
0.010000;0.087500;0.875000;31;1543;0.907647;13992;0.914510
0.010000;0.087500;0.875000;21;1530;0.900000;13847;0.905033
